Game_Date	Day_of_Week	Home_Team	Day_or_Night	Home_Game_Number	Attendance	Prior_Attendance	Prior_Wins
2013-04-18	Thu	CIN	N	10	14916	29486	76
2013-04-18	Thu	COL	D	6	18341	26952	66
2013-04-18	Thu	MIL	D	9	29161	42611	82
2013-04-19	Fri	HOU	N	7	17241	30270	70
2013-04-19	Fri	CIN	N	11	26112	32971	76
2013-04-19	Fri	COL	N	7	23445	21547	66
2013-04-19	Fri	MIL	N	10	28346	36291	82
2013-04-19	Fri	TBA	N	7	15115	14933	77
2013-04-19	Fri	TEX	N	7	36273	31513	67
2013-04-19	Fri	TOR	N	11	40028	30765	83
2013-04-19	Fri	NYN	N	7	26675	30544	79
2013-04-19	Fri	PHI	N	8	34092	45196	73
2013-04-19	Fri	PIT	N	10	18705	20445	88
2013-04-19	Fri	SFN	N	7	41559	41908	88
2013-04-20	Sat	TBA	N	8	25611	14638	77
2013-04-20	Sat	TEX	N	8	43025	48234	67
2013-04-20	Sat	TOR	D	12	46095	22320	83
2013-04-20	Sat	NYN	D	8	24325	33844	79
2013-04-20	Sat	PHI	N	9	41050	45550	73
2013-04-20	Sat	PIT	N	11	29313	33019	88
2013-04-20	Sat	SFN	N	8	41995	42375	88
2013-04-20	Sat	BAL	D	7	26811	11058	96
2013-04-20	Sat	BAL	D	8	26811	10415	96
2013-04-20	Sat	BAL	N	7	45248	11058	96
2013-04-20	Sat	BAL	N	8	45248	10415	96
2013-04-20	Sat	BOS	D	7	35152	36770	71
2013-04-20	Sat	CHA	D	7	22417	11836	73
2013-04-20	Sat	HOU	N	8	19904	25562	70
2013-04-20	Sat	CIN	D	12	35645	31086	76
2013-04-20	Sat	COL	N	8	30380	24525	66
2013-04-20	Sat	MIL	N	11	42230	38686	82
2013-04-21	Sun	BAL	D	9	41265	13725	96
2013-04-21	Sun	BOS	D	8	31483	37839	71
2013-04-21	Sun	BOS	D	9	31483	37359	71
2013-04-21	Sun	BOS	N	8	33270	37839	71
2013-04-21	Sun	BOS	N	9	33270	37359	71
2013-04-21	Sun	CHA	D	8	19587	20266	73
2013-04-21	Sun	HOU	D	9	22005	23948	70
2013-04-21	Sun	CIN	D	13	28882	16868	76
2013-04-21	Sun	COL	D	9	42507	24762	66
2013-04-21	Sun	MIL	D	12	37123	26778	82
2013-04-21	Sun	TBA	D	9	25954	15417	77
2013-04-21	Sun	TEX	D	9	44599	47085	67
2013-04-21	Sun	TOR	D	13	45575	21945	83
2013-04-21	Sun	NYN	D	9	26225	0	79
2013-04-21	Sun	NYN	D	9	26225	23866	79
2013-04-21	Sun	PHI	N	10	35115	45397	73
2013-04-21	Sun	PIT	D	12	20873	20042	88
2013-04-21	Sun	SFN	D	9	42747	42060	88
2013-04-22	Mon	TBA	N	10	15331	9458	77
2013-04-22	Mon	PHI	N	11	35385	44365	73
2013-04-22	Mon	SDN	N	7	18643	20858	77
2013-04-22	Mon	SFN	N	10	41294	41439	88
2013-04-22	Mon	WAS	N	10	27263	26745	96
2013-04-22	Mon	BAL	N	10	11168	18297	96
2013-04-22	Mon	BOS	N	10	28926	37225	71
2013-04-22	Mon	CHA	N	9	14950	20414	73
2013-04-22	Mon	HOU	N	10	23201	17536	70
2013-04-22	Mon	CIN	N	14	18090	23288	76
2013-04-23	Tue	BAL	N	11	13272	26926	96
2013-04-23	Tue	BOS	N	11	29006	37434	71
2013-04-23	Tue	HOU	N	11	13929	17958	70
2013-04-23	Tue	MIN	D	8	25716	33651	70
2013-04-23	Tue	MIN	D	9	25716	32254	70
2013-04-23	Tue	MIN	N	8	23300	33651	70
2013-04-23	Tue	MIN	N	9	23300	32254	70
2013-04-23	Tue	CIN	N	15	24021	37255	76
2013-04-23	Tue	COL	D	10	19124	35103	66
2013-04-23	Tue	COL	D	11	19124	38798	66
2013-04-23	Tue	COL	N	10	21724	35103	66
2013-04-23	Tue	COL	N	11	21724	38798	66
2013-04-23	Tue	TBA	N	11	17644	9972	77
2013-04-23	Tue	NYN	N	10	21135	0	79
2013-04-23	Tue	NYN	N	10	21135	23866	79
2013-04-23	Tue	PHI	N	12	31002	43821	73
2013-04-23	Tue	SDN	N	8	19560	17573	77
2013-04-23	Tue	SFN	N	11	41955	41575	88
2013-04-23	Tue	WAS	N	11	29986	22675	96
2013-04-24	Wed	TBA	N	12	19177	9837	77
2013-04-24	Wed	NYN	N	11	24130	20192	79
2013-04-24	Wed	PHI	N	13	32158	43840	73
2013-04-24	Wed	SDN	N	9	17205	23748	77
